latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
26.9258,86.1254,322.3,1.2,1.1,2018-03-10,0746,Aqua,MODIS,64,6.03,305.1,12.3,D,0
27.0802,85.3092,320,1.1,1.1,2018-03-10,0746,Aqua,MODIS,68,6.03,303.3,11.5,D,0
27.0715,85.743,321.2,1.2,1.1,2018-03-10,0746,Aqua,MODIS,55,6.03,305.6,9.4,D,0
27.8135,85.0038,320.4,1.1,1,2018-03-10,0747,Aqua,MODIS,50,6.03,306.8,10,D,0
27.8192,85.0479,319,1.1,1,2018-03-10,0747,Aqua,MODIS,48,6.03,305.7,8.5,D,0
27.73,84.6518,314.4,1.1,1,2018-03-10,0747,Aqua,MODIS,38,6.03,302.2,7.1,D,0
27.53,84.249,314,1,1,2018-03-10,0747,Aqua,MODIS,44,6.03,301.4,5.7,D,0
27.5488,84.4588,330.7,1,1,2018-03-10,0747,Aqua,MODIS,83,6.03,305,22.6,D,0
27.5502,84.4693,350.3,1,1,2018-03-10,0747,Aqua,MODIS,95,6.03,306.1,57.6,D,0
27.553,84.4903,318.2,1.1,1,2018-03-10,0747,Aqua,MODIS,57,6.03,303.9,7.2,D,0
26.9846,82.2318,324.8,1,1,2018-03-10,0747,Aqua,MODIS,75,6.03,305.9,14,D,0
