latitude,longitude,acq_date,confidence
27.5432,85.0296,2025-04-03,79
27.4861,84.7852,2025-04-03,61
27.4742,84.7732,2025-04-03,81
27.4758,84.7835,2025-04-03,87
27.4936,84.8976,2025-04-03,69
27.3951,84.7994,2025-04-03,65
27.3968,84.8098,2025-04-03,71
27.3319,84.5144,2025-04-03,66
27.3603,84.6936,2025-04-03,91
27.3619,84.704,2025-04-03,93
27.3636,84.7145,2025-04-03,98
27.3652,84.7249,2025-04-03,96
27.3595,84.7476,2025-04-03,71
27.3808,84.8829,2025-04-03,56
27.3416,84.7512,2025-04-03,63
27.3309,84.7425,2025-04-03,92
28.7654,82.2183,2025-04-03,81
27.0342,87.6051,2025-04-03,100
27.0451,86.0108,2025-04-03,75
27.0407,87.5217,2025-04-03,94
27.3639,84.4439,2025-04-03,71
27.1778,85.7961,2025-04-03,56
27.3615,84.7056,2025-04-03,55
27.3689,84.8384,2025-04-03,68
27.5086,84.4556,2025-04-03,54
27.5088,84.5161,2025-04-03,61
27.0385,87.5906,2025-04-03,72
27.0405,87.578,2025-04-03,80
27.6039,83.9792,2025-04-03,58
27.6142,83.9875,2025-04-03,65
27.6156,83.9777,2025-04-03,93
27.6383,83.8807,2025-04-03,57
27.6321,84.0512,2025-04-03,57
28.434,81.3695,2025-04-03,55
27.7725,83.5145,2025-04-03,59
28.3841,81.7038,2025-04-03,68
27.3034,85.0423,2025-04-03,59
27.3539,85.4276,2025-04-03,71
27.2646,84.9121,2025-04-03,79
27.2662,84.9224,2025-04-03,82
27.4466,86.102,2025-04-03,69
27.3597,84.4733,2025-04-03,61
27.2301,84.9081,2025-04-03,66
26.9059,86.3422,2025-04-03,71
27.2782,83.4125,2025-04-03,71
27.043,87.6031,2025-04-03,80
29.3857,80.8082,2025-04-03,65
29.3843,80.8196,2025-04-03,72
28.3826,81.7162,2025-04-03,50
27.8464,84.5513,2025-04-03,64
28.3442,80.3955,2025-04-03,57
28.898,80.2693,2025-04-03,54
28.5971,80.4074,2025-04-03,60
28.0176,84.645,2025-04-03,50
28.4191,81.5748,2025-04-03,71
27.254,84.9036,2025-04-03,69
28.4176,81.5867,2025-04-03,74
28.4355,81.3573,2025-04-03,66
27.7018,84.5835,2025-04-03,56
27.9908,82.3583,2025-04-03,57
28.0027,81.8171,2025-04-03,57
26.3901,81.9261,2025-04-03,67
26.7762,83.3006,2025-04-03,80
26.7776,83.2907,2025-04-03,69
27.1425,83.4647,2025-04-03,61
26.7079,86.5975,2025-04-03,59
26.7283,86.5902,2025-04-03,59
28.5442,80.4141,2025-04-03,63
27.2556,84.9139,2025-04-03,100
27.3678,84.3375,2025-04-03,60
27.245,84.9053,2025-04-03,84
27.1006,85.2821,2025-04-03,75
27.1069,85.3224,2025-04-03,79
27.2853,86.5826,2025-04-03,76
27.0839,85.4152,2025-04-03,74
27.1564,85.8921,2025-04-03,61
27.1301,85.897,2025-04-03,92
27.0589,85.6833,2025-04-03,56
27.0443,85.7065,2025-04-03,72
27.2824,87.4693,2025-04-03,73
27.2271,87.2666,2025-04-03,75
27.0991,85.272,2025-04-03,79
27.2284,87.2763,2025-04-03,81
27.051,86.1104,2025-04-03,56
27.1733,87.0123,2025-04-03,77
26.9957,85.874,2025-04-03,77
27.1635,87.0197,2025-04-03,96
27.2589,87.6984,2025-04-03,71
27.1899,87.2689,2025-04-03,63
26.9769,85.9889,2025-04-03,73
26.9929,86.2778,2025-04-03,64
27.2572,84.9242,2025-04-03,94
26.9958,86.2973,2025-04-03,56
26.9885,85.6968,2025-04-03,79
27.0975,85.2619,2025-04-03,60
27.0355,85.7082,2025-04-03,82
27.2677,85.0489,2025-04-03,62
27.2661,85.0387,2025-04-03,75
26.7782,83.323,2025-04-03,97
27.2311,85.0511,2025-04-03,76
27.2343,85.0716,2025-04-03,53
27.2358,85.0817,2025-04-03,65
27.218,85.0852,2025-04-03,94
27.2196,85.0954,2025-04-03,87
27.3214,85.8791,2025-04-03,75
27.5781,87.8032,2025-04-03,70
27.2385,85.6467,2025-04-03,69
27.1689,85.3103,2025-04-03,88
27.3199,85.8691,2025-04-03,75
27.1601,85.312,2025-04-03,86
26.7761,83.311,2025-04-03,78
27.2743,86.0058,2025-04-03,63
26.7858,83.3089,2025-04-03,100
27.1335,85.3172,2025-04-03,62
27.1178,85.2163,2025-04-03,84
26.7879,83.321,2025-04-03,100
27.217,85.8036,2025-04-03,59
27.1061,85.0824,2025-04-03,79
27.2816,86.1152,2025-04-03,67
27.2185,85.8135,2025-04-03,59
27.471,84.5094,2025-04-04,52
27.7443,82.8721,2025-04-04,100
27.7354,82.8737,2025-04-04,61
27.8635,84.4815,2025-04-04,65
27.896,85.011,2025-04-04,67
27.3226,82.7414,2025-04-04,91
27.4736,83.986,2025-04-04,76
27.5548,84.8062,2025-04-04,74
27.4912,84.4371,2025-04-04,60
27.5011,84.6003,2025-04-04,56
27.4723,84.521,2025-04-04,58
27.3533,84.4539,2025-04-04,73
27.4553,84.6601,2025-04-04,76
27.4443,84.6498,2025-04-04,57
27.3559,84.3154,2025-04-04,65
27.3613,84.36,2025-04-04,98
27.4412,85.039,2025-04-04,65
27.4396,85.1123,2025-04-04,82
